priority_tier	url	slug	page_type	current_status	brief_file	claim_risk	primary_goal	required_retrofit_blocks	proof_module	internal_links_to_add	schema_needed	publish_gate	qa_gate
P1	https://simplyrest.com/best-memory-foam-mattress/	best-memory-foam-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-memory-foam-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-memory-foam-mattress-for-side-sleepers/	best-memory-foam-mattress-for-side-sleepers	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-memory-foam-mattress-for-side-sleepers.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-online-mattress/	best-online-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-online-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-organic-mattress/	best-organic-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-organic-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-queen-mattress/	best-queen-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-queen-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-time-to-buy-a-mattress/	best-time-to-buy-a-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-time-to-buy-a-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-twin-mattress/	best-twin-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-twin-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-twin-xl-size-mattress/	best-twin-xl-size-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-twin-xl-size-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/how-to-choose-the-best-memory-foam-mattress/	how-to-choose-the-best-memory-foam-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/how-to-choose-the-best-memory-foam-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/mattress-reviews-finding-the-best-ones-online/	mattress-reviews-finding-the-best-ones-online	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/mattress-reviews-finding-the-best-ones-online.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/whats-the-best-mattress-for-plus-size-people/	whats-the-best-mattress-for-plus-size-people	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/whats-the-best-mattress-for-plus-size-people.md	Medium: comfort/support/cooling claims must be tied to testing evidence	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/california-king-vs-full/	california-king-vs-full	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/california-king-vs-full.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/california-king-vs-twin-xl/	california-king-vs-twin-xl	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/california-king-vs-twin-xl.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/down-vs-down-alternative/	down-vs-down-alternative	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/down-vs-down-alternative.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/full-vs-queen/	full-vs-queen	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/full-vs-queen.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/gel-memory-foam-vs-memory-foam-whats-the-difference/	gel-memory-foam-vs-memory-foam-whats-the-difference	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/gel-memory-foam-vs-memory-foam-whats-the-difference.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/king-vs-california-king/	king-vs-california-king	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/king-vs-california-king.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/king-vs-full/	king-vs-full	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/king-vs-full.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/king-vs-queen/	king-vs-queen	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/king-vs-queen.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/king-vs-split-king/	king-vs-split-king	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/king-vs-split-king.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/latex-vs-innerspring-mattress/	latex-vs-innerspring-mattress	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/latex-vs-innerspring-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/memory-foam-vs-hybrid-mattress/	memory-foam-vs-hybrid-mattress	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/memory-foam-vs-hybrid-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/memory-foam-vs-pillow-top/	memory-foam-vs-pillow-top	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/memory-foam-vs-pillow-top.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/memory-foam-vs-serene-foam/	memory-foam-vs-serene-foam	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/memory-foam-vs-serene-foam.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/memory-foam-vs-spring-mattress/	memory-foam-vs-spring-mattress	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/memory-foam-vs-spring-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/queen-vs-california-king/	queen-vs-california-king	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/queen-vs-california-king.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/queen-vs-twin/	queen-vs-twin	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/queen-vs-twin.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/queen-vs-twin-xl/	queen-vs-twin-xl	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/queen-vs-twin-xl.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/twin-vs-full/	twin-vs-full	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/twin-vs-full.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/twin-vs-twin-xl/	twin-vs-twin-xl	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/twin-vs-twin-xl.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/twin-xl-vs-split-king/	twin-xl-vs-split-king	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/twin-xl-vs-split-king.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/wyoming-king-vs-alaskan-king/	wyoming-king-vs-alaskan-king	comparison	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/wyoming-king-vs-alaskan-king.md	Medium: commercial recommendation claims need proof and disclosure	Win product-vs-product queries with a direct winner, comparison table, and test-based tradeoffs.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-store-denver-colorado/	best-mattress-store-denver-colorado	local-store	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-store-denver-colorado.md	Low: standard editorial/commercial disclosure still required where links appear	Win local mattress store queries with local proof, store evaluation criteria, maps/NAP signals, and shopper guidance.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Store shopper test guidance: pressure, alignment, edge, response, comfort checks; local proof/NAP where applicable	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/; https://simplyrest.com/mattress-stores/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-store-fort-worth-texas/	best-mattress-store-fort-worth-texas	local-store	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-store-fort-worth-texas.md	Low: standard editorial/commercial disclosure still required where links appear	Win local mattress store queries with local proof, store evaluation criteria, maps/NAP signals, and shopper guidance.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Store shopper test guidance: pressure, alignment, edge, response, comfort checks; local proof/NAP where applicable	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/; https://simplyrest.com/mattress-stores/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
